song,project_id,provider,calls,errors,cost_usd,first_call_at,last_call_at
Vishwanathashtakam,6e5e838c-5f11-4991-a19a-76469bb69373,segmind,29,2,52.122,2026-06-02T07:21:59.968113+00:00,2026-06-02T14:49:17.795479+00:00
Durga Sooktam,8a22b04b-0f21-4688-9dd0-6118e09c5583,segmind,26,0,51.684,2026-06-02T11:56:57.243198+00:00,2026-06-04T07:28:16.635094+00:00
Shivastakam,e03a3f79-1b6a-48f6-ad05-0069a5a1928f,segmind,78,0,51.174,2026-06-06T17:09:06.392324+00:00,2026-06-06T19:02:26.205123+00:00
Aadi Deva,b85540b3-9fa5-4d88-b4b6-274220b0dc98,segmind,26,0,50.37,2026-06-03T12:24:34.6805+00:00,2026-06-03T12:48:07.279685+00:00
Gakaaravaachyam,0c777e6d-1e96-43ec-b85d-876eba953d35,segmind,65,1,49.702,2026-06-01T08:48:59.537543+00:00,2026-06-07T13:57:55.025949+00:00
Gajaanana Jai Gajaanana,a9021ad1-2fa0-4cd6-9c3d-ecb4e1265472,segmind,88,0,48.972,2026-06-05T10:51:17.93904+00:00,2026-06-07T16:28:49.201858+00:00
Paahi Prabhu Gananadha,5145f70f-c83b-44e1-ab57-530a6de34d2a,segmind,82,0,48.972,2026-06-05T13:23:31.188442+00:00,2026-06-06T09:39:36.815051+00:00
Om Sarvam Kalpitham,1cac9a11-d225-4856-94ad-009c1d5a84aa,segmind,49,0,48.966,2026-04-22T09:07:26.640626+00:00,2026-05-29T15:53:55.410146+00:00
Devi Sooktam,4acdf2a3-e1a9-47e2-9dad-0049bc9cfe77,segmind,75,0,48.526,2026-06-06T09:38:34.635835+00:00,2026-06-06T11:46:39.828125+00:00
Om Sri Gurubyonamaha (Ganapathi Prathane),699327b7-19c9-42e2-bbf1-fff815ba7cf6,segmind,26,0,45.406,2026-04-22T16:18:15.340657+00:00,2026-05-22T10:05:15.26476+00:00
Vipannana (1),80ed621c-9e0b-4768-b772-5c4c0819d03f,segmind,29,1,44.822,2026-05-28T15:25:06.583951+00:00,2026-05-29T15:10:18.628325+00:00
Om Ganapatheyanamaha,2f771594-968f-452a-87c3-edc94f39482f,segmind,53,2,42.61,2026-06-05T11:54:53.527061+00:00,2026-06-07T17:26:30.009797+00:00
